NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190001005653,2019,1501402,Belém,15,PA,28,F,1,2,1,1501402,Belém,15,PA,1,2,1,,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,1,1,1,1,523,524,525,526,404.5,357.2,422.2,409.1,AACCCCADDCDBCBACADCACBCADEEBCCBAECECBDABBEDCE,AACBEACBECD.DBDDBCEEAA.CCBACCDBEDBEDCDCEDCDEB,99999DCEEACCEAABBDAAACDEDECAEBDECEADCDCDEBBC*EDCAA,ADBEDCDACAEBAECEBEADCBBBDBEDDCAAECCDAAABADADB,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,80,120,80,100,0,380,G,E,E,B,5,H,A,B,C,A,B,B,A,B,A,A,A,A,C,A,A,B,A,B,B
190001007097,2019,1501402,Belém,15,PA,23,M,1,3,1,1501402,Belém,15,PA,1,1,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,1,1,1,1,523,524,525,526,354,394.8,356.5,471.3,ADCCABCCBEDAEEBABCCBEDEBBDCBEABCECCDDEDDEDABC,DBAEDABACDDBCDECBADBC.BCD.....BCD............,DDABA99999ADCCECEACEACDBEABAEDAAAAEBBAABDBEBAAAACB,DCEEACEACCECCBDAADCABBECDABCECDCAEAAACBBAECDC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,4,0,0,0,0,0,0,E,E,D,C,2,E,A,B,C,A,A,B,A,C,A,B,A,A,B,A,A,B,B,A,B
190001013319,2019,1501402,Belém,15,PA,32,M,2,1,1,1501402,Belém,15,PA,1,10,1,,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,B,A,A,6,D,A,B,C,A,A,B,A,A,A,A,A,A,C,B,A,D,A,A,B
190001019462,2019,1501402,Belém,15,PA,21,F,1,2,1,1501402,Belém,15,PA,2,0,2,1,0,15040429,1501402,Belém,15,PA,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,1,1,1,1,523,524,525,526,433.5,492.6,515.9,443.4,EAABEDCDBDDCEDCABAADEDCABAACEDBEBCAAEAADDEBDE,EBAAAEADECCBBCCEBBBCEADAAAAEEBCEADDCDCAAEEEAC,99999EDCDBBDDBAEEBDEDABCEBDEBAEEABDAADEEEACEADACCD,BDEDBBADCDEEACEDBEABECDABEBECEAEAEDDCCCEABCED,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,140,160,160,160,200,820,E,E,B,B,6,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B
190001021060,2019,1501501,Benevides,15,PA,19,F,1,3,1,1501501,Benevides,15,PA,1,1,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501501,Benevides,15,PA,1,1,1,1,523,524,525,526,344.7,484,377.7,390.1,ABBABCADBBDBBABAABCBABCBCCADBADCEAEBBCBAEBCBD,BBACAACACBCDACBCABCCBDCBCDDBBDCCBCAACBABBCBAE,99999BADDBCAACAACACABCBCABABBCAEBACBBBCCBABCCBCBBC,BCDCDCDABDABDDACCBABDEEBCBCBECBACCBDAACDABCBE,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,80,120,120,100,40,460,B,C,A,B,6,C,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,A
190001023229,2019,1501402,Belém,15,PA,48,M,1,1,1,2102903,Carutapera,21,MA,1,11,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,1,1,1,1,523,524,525,526,439.8,362.7,359,490.9,ECEACDEBAAADBEAAAEDCBDECDCECAEDBEBCBADAEDDAEC,CADEBDAEAADABADECBECECBADEADCDDADACEABDCEAEBE,99999ABABDEDCCDEADCDBDBCBBCAADDACEADEEAACEBDECEDBE,ACABCEADADBDDCEEEADACDCCCCABECAEECDECECEABBAC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,6,0,0,0,0,0,0,F,E,B,C,6,C,A,B,C,A,A,B,B,B,A,B,B,B,B,B,B,D,B,B,B
190001039928,2019,1501303,Barcarena,15,PA,23,F,1,3,1,1500503,Almeirim,15,PA,1,3,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501303,Barcarena,15,PA,1,1,1,1,523,524,525,526,425.9,400.2,500.2,421.8,BABABCCECEBEEEECDABEEDEEABCECBEABDECEBADCDDDD,DDECBAEECEEBBDEDCCCAEDDABEEAADABEAAAEBCEEDADD,99999DCDEAACABAEECBEACAECDAABECDEECCCEEBEADBCCAEDD,DACEBBBDDAECADCEEBBACCAAABCCEDAABECBEEACBCDDD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,100,120,120,120,160,620,E,E,A,A,5,D,A,B,D,A,A,B,A,B,A,A,B,A,B,A,A,A,A,B,B
190001042202,2019,1503200,Igarapé-Açu,15,PA,42,M,1,3,1,1503200,Igarapé-Açu,15,PA,1,5,1,,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503200,Igarapé-Açu,15,PA,1,1,1,1,523,524,525,526,344.9,431.2,449.5,430.3,BACBACABABCAEBCACBACECAEABDCAADBCEBBACCCBACDC,ABCACABCABCBCDADABBACACBCACADBCACACABACACACAB,99999BADCACBDCACBCACAAEEBCACBAACABCACCDABACCACABBD,AAECADCECAEADEDADADABEBCADCABEDACBCEACEAACEDC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,100,140,120,120,180,660,D,E,D,C,2,C,A,B,B,A,A,B,A,B,A,A,A,A,B,B,B,D,A,B,B
190001054615,2019,1502400,Castanhal,15,PA,24,F,1,1,1,1501402,Belém,15,PA,1,6,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502400,Castanhal,15,PA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,C,C,B,3,C,A,C,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,A
190001056049,2019,1501402,Belém,15,PA,41,F,3,3,1,1501402,Belém,15,PA,1,13,1,1,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,1,1,1,1,523,524,525,526,422.5,481.4,511.6,402.4,ABBBBCCDDCEEDBDCEECDBACBBDEECBACDADABEECCBDAA,CCCACCCBCCCCCCCCDDDCEDBEEADEAAECBECECEEEDDEEC,99999BEBEABEACACACBCBEDBBEDDBACAABECDDEEECDEADAAED,EADEADEACCADDEEADBEBADEADEADECACDBEAADDEADEDC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1,160,140,140,140,160,740,D,E,B,B,4,C,A,B,C,A,A,B,A,A,A,A,A,B,B,A,A,C,A,B,B
